mid,formula,nsites,pred_log_sigma
mp:6191,Li2Eu5O8,15,-3.6019129753112793
mp:3661,Cs2LiPdF6,10,-3.602538585662842
mp:6172,Li2Cu3F8,13,-3.605825424194336
mp:6432,Li2AgF5,16,-3.609189987182617
mp:9786,LiTi(PO3)4,36,-3.609288215637207
mp:3190,LiY(TlCl3)2,40,-3.6097869873046875
mp:3767,Rb2LiInCl6,10,-3.6120128631591797
mp:759,LiFeF5,14,-3.61460542678833
mp:5938,RbLiCu2H3(SO5)2,19,-3.61624813079834
mp:274,LiFeF6,16,-3.6168928146362305
mp:1653,Li(MnS2)2,14,-3.617794990539551
mp:16428,Li14Co2S9,25,-3.6178512573242188
mp:2505,LiCo2(CO3)4,19,-3.6199066638946533
mp:582,LiMn2F7,40,-3.6231045722961426
mp:1232,LiYPd2,4,-3.623676300048828
mp:6318,Li2TeSe3,24,-3.6240625381469727
mp:9068,LiMg30SiO32,64,-3.6279397010803223
mp:17633,Li3Ti2(PO4)3,40,-3.6305017471313477
mp:1127,LiAg2F5,64,-3.6335318088531494
mp:5518,LiLuZnFeO4,8,-3.63356876373291
mp:3596,Cs2LiTaCl6,10,-3.634589672088623
mp:9217,LiMo2(PO4)3,72,-3.6360840797424316
mp:3706,Na2LiSmCl6,10,-3.6368885040283203
mp:15509,Li7PSe6,56,-3.637179374694824
mp:6137,Li2Te,3,-3.6404924392700195
mp:4211,LiEr6Ta2O14,23,-3.6405911445617676
mp:9228,LiNb2(PO4)3,72,-3.6415815353393555
mp:3717,Rb2LiScCl6,10,-3.6441917419433594
mp:14951,Li6CuS4,11,-3.6464667320251465
mp:4104,LiTi(PO3)4,36,-3.64669132232666
mp:1110,LiMn2F7,20,-3.6480398178100586
mp:11774,Li3Ti2(PO4)3,40,-3.6482138633728027
mp:6820,Li2CuGe,8,-3.6482372283935547
mp:11008,Li3YBi2,6,-3.6489086151123047
mp:9974,Ba3Li(AsO4)2,14,-3.649237632751465
mp:2686,LiCo(SO4)2,36,-3.6496620178222656
mp:2137,LiAg2F4,28,-3.651571273803711
mp:6087,Ba6LiNb2Ir(ClO6)2,24,-3.6517086029052734
mp:3275,LiTi2(PO4)3,36,-3.6517724990844727
mp:3709,Na2LiDyCl6,10,-3.6518421173095703
mp:11227,Li3Fe2F9,56,-3.653110980987549
mp:14788,Li5Ti7In(PO4)12,73,-3.6532797813415527
mp:6485,Li2ZrN2,5,-3.6536660194396973
mp:440,LiBiS2,4,-3.6539769172668457
